면적,층수,구,동,년수,가격,브랜드,등급
59.97,12,영등포구,신길동,5,10.2,기타,B
59.67,22,동작구,노량진동,23,8.05,기타,B
84.79,16,송파구,신천동,16,20.7,기타,B
128.26,5,마포구,도화동,28,12,기타,A
68.18,2,양천구,목동,18,5.5,기타,A
68.18,2,양천구,목동,18,5.5,기타,A
59.76,19,마포구,신공덕동,24,11.3,래미안,B
84.96,11,마포구,신공덕동,11,12.4,기타,B
59.4,12,마포구,대흥동,25,10,기타,A
114.48,16,마포구,염리동,23,14.4,래미안,A
59.96,10,성동구,행당동,24,9.15,기타,A
84.87,8,성동구,행당동,24,10.9,기타,A
121.94,2,동대문구,답십리동,10,13.4,래미안,A
59.76,10,중랑구,중화동,27,6.2,기타,B
84.92,2,은평구,응암동,3,11,기타,C
84.95,12,동대문구,이문동,23,8.07,기타,B
84.95,12,동대문구,이문동,23,8.07,래미안,A
74.25,23,중랑구,신내동,28,6.25,기타,B
71.77,7,노원구,월계동,41,5.4,기타,B
84.84,3,강남구,세곡동,11,13.45,기타,B
51.82,17,송파구,장지동,11,8.8,기타,A
84.95,11,구로구,항동,5,8.3,기타,B
35.76,13,관악구,봉천동,26,2.17,기타,A
74.54,1,강남구,일원동,31,18,기타,B
30.12,15,관악구,봉천동,10,3.1,기타,A
125.4,11,동작구,사당동,34,13.5,기타,B
84.96,18,구로구,구로동,18,6.45,기타,A
114.94,14,동작구,사당동,25,9.5,자이,A
44.64,19,구로구,구로동,26,4.35,기타,B
114.75,13,관악구,봉천동,21,9.9,기타,A
59.49,27,구로구,개봉동,23,6,기타,B
73.08,9,구로구,구로동,38,7.4,기타,C
55.46,14,동작구,신대방동,21,7.5,기타,B
59.5,17,구로구,구로동,21,5,기타,B
30.03,9,강남구,역삼동,22,3,기타,A
59.98,16,영등포구,신길동,4,11.6,기타,C
59.98,3,영등포구,신길동,3,10.4,자이,A
65.02,4,송파구,석촌동,21,5.4,기타,A
59.88,9,구로구,신도림동,25,8,기타,B
59.96,17,서초구,반포동,1,28,래미안,C
59.96,17,서초구,반포동,1,28,래미안,C
59.96,17,서초구,반포동,1,28,래미안,C
59.92,7,양천구,신정동,23,7.95,래미안,A
168.74,23,송파구,송파동,25,14.5,기타,A
13.66,14,영등포구,신길동,11,1,기타,A
81.23,4,서초구,잠원동,32,18.2,기타,A
166.7,28,송파구,신천동,19,26,롯데캐슬,A
59.88,10,양천구,신월동,4,8.9,기타,C
83.06,20,송파구,방이동,36,18,기타,B
59.88,15,용산구,이촌동,26,15.4,기타,A
59.26,8,송파구,풍납동,29,8.75,기타,B
84.5,6,영등포구,당산동4가,36,11.05,기타,B
83.45,14,광진구,자양동,31,10.5,기타,A
28.86,8,영등포구,당산동5가,19,3.5,기타,A
15.86,11,강동구,길동,10,1.2,기타,A
33.93,5,강동구,천호동,21,2.6,기타,A
72.19,13,마포구,도화동,27,12.7,기타,C
84.55,3,광진구,광장동,17,13.2,기타,A
15.63,3,광진구,화양동,10,1.33,기타,B
84.97,19,강서구,화곡동,16,12.15,기타,C
84.96,8,마포구,신수동,17,9.94,기타,A
84.961,8,마포구,신수동,17,9.94,기타,A
59.95,2,마포구,공덕동,36,8.1,기타,A
59.95,2,마포구,공덕동,36,8.1,기타,A
