Date No.,Nvidia,Intel
1199,140.25,22.47
1200,145.13,21.96
1201,145.06,20.8
1202,142.44,20.92
1203,138.81,20.81
1204,135.07,20.16
1205,139.31,20.12
1206,137.34,20.78
1207,134.25,20.34
1208,132,20.83
1209,130.39,20.44
1210,128.91,19.3
1211,130.68,19.06
1212,134.7,19.52
1213,139.67,20.2
1214,140.22,20.4
1215,139.93,20.44
1216,137.01,20.3
1217,137.49,19.82
1218,134.29,20.05
1219,138.31,20.22
1220,144.47,20.56
1221,149.43,19.87
1222,140.14,20.01
1223,140.11,19.88
1224,135.91,19.15
1225,133.23,19.2
1226,131.76,19.2
1227,136.24,19.72
1228,133.57,19.67
1229,137.71,21.49
1230,140.83,21.77
1231,147.07,21.86
1232,147.22,21.57
1233,142.62,20.83
1234,118.42,20.29
1235,128.99,19.8
1236,123.7,19.75
1237,124.65,20.01
1238,120.07,19.43
1239,116.66,19.38
1240,118.65,19.29
1241,124.83,19.65
1242,128.68,19.38
1243,129.84,19.1
1244,133.57,19.77
1245,132.8,20.97
1246,131.14,22.48
1247,135.29,24.13
1248,138.85,23.6
1249,139.4,27.39
1250,139.23,25.72
1251,140.11,26.09
1252,134.43,24.87
1253,130.28,24.27
1254,126.63,22.99
1255,131.28,23.52
1256,120.15,23.09
1257,124.92,23.73
