전용면적,층수,연수,구,거래금액(억원)
84.79,6,16,은평구,7.275
133.68,8,30,광진구,8.75
59.84,8,16,강서구,7.5
59.95,6,28,광진구,8.9
84.97,12,34,광진구,12.45
58.14,3,29,노원구,6.75
84.77,11,35,서대문,6.5
76.53,5,18,양천구,6.4
59.895,12,21,은평구,5.7
39.69,4,35,송파구,6.5
125.79,4,36,송파구,15.5
59.96,5,15,동작구,7.5
60.5,6,36,노원구,5.5
84.96,5,6,송파구,20.8
59.94,4,21,성동구,9.48
84.98,17,23,영등포,13.6
12.62,12,10,영등포,1.589
84.81,9,41,강남구,26
63.83,5,47,영등포,14.7
84.96,27,24,관악구,7.25
76.65,1,25,은평구,5.2858
84.98,1,39,송파구,15.45
47.7,9,23,서초구,9
16.69,19,6,노원구,1.43
